cluster	gene_name	gene_id	isTF	E9.5VSE10.5_l2fc	E9.5VSE10.5_padj	E10.5VSE11.5_l2fc	E10.5VSE11.5_padj	E11.5VSE12.5_l2fc	E11.5VSE12.5_padj
Ect4	Lmx1a	ENSMUSG00000026686	TRUE	2.46262024206328	0.000260462973462583	NA	NA	NA	NA
Ect6	Cdc42ep1	ENSMUSG00000049521	FALSE	2.05144805778401	2.47454307942912e-07	NA	NA	NA	NA
Ect6	Naaa	ENSMUSG00000029413	FALSE	1.90202147149985	1.08128276844314e-06	NA	NA	NA	NA
Ect1	Atp2b4	ENSMUSG00000026463	FALSE	NA	NA	NA	NA	NA	NA
Ect3	Scube1	ENSMUSG00000016763	FALSE	-2.90733551326317	4.7567664859433e-34	NA	NA	-1.98372903245551	8.69351393095531e-06
Ect1	Anxa4	ENSMUSG00000029994	FALSE	-2.12374616352886	0.000104504565970363	NA	NA	NA	NA
Ect4	Adh1	ENSMUSG00000074207	FALSE	2.89538937091051	2.95621412844301e-09	NA	NA	NA	NA
Ect6	Meox1	ENSMUSG00000001493	TRUE	1.85371809691158	6.18032437294247e-08	NA	NA	NA	NA
Ect3	Hoxa11	ENSMUSG00000038210	TRUE	-3.48775180099197	5.60602568126096e-13	-1.84496330668202	0.00377265590998909	-3.59296002236467	0.000246493504474429
Ect1	Osbpl5	ENSMUSG00000037606	FALSE	NA	NA	NA	NA	NA	NA
Ect1	Evpl	ENSMUSG00000034282	FALSE	-3.21455842659535	4.99469356194434e-17	NA	NA	NA	NA
Ect1	Lrrk1	ENSMUSG00000015133	FALSE	-1.61433231583123	8.80521349260091e-08	NA	NA	NA	NA
Ect1	Hpgd	ENSMUSG00000031613	FALSE	NA	NA	3.60322668188204	0.00511399251127456	2.17731529375573	0.00300163716366868
Ect1	Fmod	ENSMUSG00000041559	FALSE	NA	NA	NA	NA	1.72790122284531	0.000343790977177345
Ect6	Cyp26b1	ENSMUSG00000063415	FALSE	NA	NA	NA	NA	-2.59130556317948	5.90980892438344e-11
