cluster	gene_name	gene_id	isTF	E9.5VSE10.5_l2fc	E9.5VSE10.5_padj	E10.5VSE11.5_l2fc	E10.5VSE11.5_padj	E11.5VSE12.5_l2fc	E11.5VSE12.5_padj
Mes4	Zfp536	ENSMUSG00000043456	FALSE	NA	NA	3.48893087872796	0.0221418580728635	2.45016146735887	0.000732017151423238
Mes1	Hs6st2	ENSMUSG00000062184	FALSE	2.17166514283242	1.43944266358466e-10	NA	NA	NA	NA
Mes6	Mtus1	ENSMUSG00000045636	FALSE	-3.71005157780348	1.29721521150643e-27	NA	NA	-1.7288355112738	0.00759986520343028
Mes3	Dusp5	ENSMUSG00000034765	FALSE	1.81068824343927	1.14773181636869e-06	NA	NA	NA	NA
Mes4	Thsd4	ENSMUSG00000032289	FALSE	NA	NA	1.72708660925527	5.37754751959149e-06	NA	NA
Mes1	Dmrta1	ENSMUSG00000043753	TRUE	2.51149555468614	3.09072712161408e-05	NA	NA	NA	NA
Mes4	Rundc3b	ENSMUSG00000040570	FALSE	NA	NA	NA	NA	1.57638701399988	0.00279675431115169
Mes4	Lrrn3	ENSMUSG00000036295	FALSE	-2.81335999774649	0.0289146732353394	3.23507947143524	9.23672381725007e-09	NA	NA
Mes5	Tfeb	ENSMUSG00000023990	TRUE	-3.22322002269727	3.33028670045448e-07	NA	NA	NA	NA
Mes7	Gli1	ENSMUSG00000025407	TRUE	-4.05825829078772	3.93604608478932e-25	NA	NA	-1.84181542699199	1.81334792112493e-05
Mes1	Gfra1	ENSMUSG00000025089	FALSE	3.86173302076691	2.21127113590666e-12	NA	NA	2.73875604909498	0.00426661837902531
Mes1	Ntrk2	ENSMUSG00000055254	FALSE	5.78181708884354	1.88717456035839e-13	NA	NA	NA	NA
Mes5	Mcub	ENSMUSG00000027994	FALSE	-4.64245826720817	2.67241482882375e-23	NA	NA	NA	NA
Mes4	Cux2	ENSMUSG00000042589	TRUE	-1.55761049436228	0.00331864560883659	NA	NA	NA	NA
Mes1	Meis3	ENSMUSG00000041420	TRUE	3.7909801348773	4.61111549275762e-14	NA	NA	NA	NA
Mes1	Ndnf	ENSMUSG00000049001	FALSE	4.63907469821198	1.86550655860664e-21	NA	NA	NA	NA
Mes5	Synpo2	ENSMUSG00000050315	FALSE	-4.3273526089966	4.10719031136549e-13	NA	NA	NA	NA
Mes5	Rasgef1b	ENSMUSG00000089809	FALSE	-2.58234448084341	3.90005014691939e-13	NA	NA	NA	NA
Mes1	Tnik	ENSMUSG00000027692	FALSE	2.33434639747883	2.99087364927064e-08	NA	NA	NA	NA
Mes4	Adcy5	ENSMUSG00000022840	FALSE	NA	NA	1.62145798430534	0.0244865102169966	NA	NA
Mes2	Sall3	ENSMUSG00000024565	TRUE	NA	NA	-2.3399223664555	7.35723208615918e-09	-1.85346664945259	9.60716728701672e-05
Mes6	Pear1	ENSMUSG00000028073	FALSE	-2.94569151713615	4.45060586122893e-19	NA	NA	NA	NA
Mes4	C1qtnf7	ENSMUSG00000061535	FALSE	NA	NA	2.90003920615617	0.00029526267163948	NA	NA
Mes1	Stc2	ENSMUSG00000020303	FALSE	2.76234227937521	5.40891405682931e-08	NA	NA	NA	NA
Mes5	D430019H16Rik	ENSMUSG00000094910	FALSE	NA	NA	NA	NA	NA	NA
Mes5	St8sia2	ENSMUSG00000025789	FALSE	-2.48451721008513	6.79369440630472e-14	NA	NA	NA	NA
Mes4	Smad9	ENSMUSG00000027796	TRUE	1.78561817174364	0.0417860606044382	3.1943026622458	4.41756213757963e-08	NA	NA
Mes1	Cysltr1	ENSMUSG00000052821	FALSE	3.66126069228894	1.46937653654055e-10	NA	NA	NA	NA
Mes6	Dock6	ENSMUSG00000032198	FALSE	-1.80215830996462	5.25199941731554e-10	NA	NA	NA	NA
Mes4	Crybg1	ENSMUSG00000019866	FALSE	NA	NA	2.91197625348441	2.29673338695494e-05	1.58988935823563	0.0497286024226003
Mes5	Mtmr11	ENSMUSG00000045934	FALSE	-2.20763514107617	4.33044482697828e-06	NA	NA	NA	NA
Mes4	Sox9	ENSMUSG00000000567	TRUE	NA	NA	2.35995069287409	1.4070444846467e-06	1.81081767726032	0.000830054710682348
Mes4	Nrep	ENSMUSG00000042834	FALSE	NA	NA	NA	NA	NA	NA
Mes5	Eva1a	ENSMUSG00000035104	FALSE	-4.12482165310412	3.68478470135134e-11	NA	NA	NA	NA
Mes4	Pax9	ENSMUSG00000001497	TRUE	-6.69513095443115	0.00053675225092539	1.97336299751446	0.00521719191563297	NA	NA
Mes5	Tgfb3	ENSMUSG00000021253	FALSE	-2.30476578047443	1.31052965296332e-09	NA	NA	NA	NA
Mes4	Atp8a2	ENSMUSG00000021983	FALSE	-2.31389431321926	0.0051427084156021	NA	NA	NA	NA
